## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.10	1	5	[111]	[0.771]	[1, 9, 1, 1]	[0.006, 0.058, 0.006, 0.006]	0.8453
0.10	1	6	[110, 1]	[0.760, 0.008]	[1, 1, 1, 1, 8]	[0.006, 0.008, 0.006, 0.008, 0.052]	0.8481
0.10	1	7	[111]	[0.776]	[1, 8, 1, 1, 1]	[0.008, 0.055, 0.006, 0.008, 0.006]	0.8591
0.10	1	8	[111]	[0.782]	[8, 1, 1, 1, 1]	[0.055, 0.006, 0.008, 0.008, 0.006]	0.8646
0.10	1	9	[111]	[0.773]	[1, 1, 1, 8, 1]	[0.008, 0.008, 0.006, 0.052, 0.006]	0.8536
0.10	1	10	[111]	[0.768]	[9, 1, 1, 1]	[0.058, 0.006, 0.008, 0.006]	0.8453
0.10	2	1	[111]	[0.760]	[1, 3, 1, 4, 1, 1, 1]	[0.006, 0.025, 0.006, 0.025, 0.006, 0.006, 0.008]	0.8398
0.10	2	2	[111]	[0.762]	[1, 4, 3, 1, 1, 1, 1]	[0.006, 0.028, 0.022, 0.006, 0.008, 0.006, 0.006]	0.8425
0.10	2	3	[111]	[0.757]	[1, 1, 2, 1, 4, 1, 1, 1]	[0.008, 0.006, 0.014, 0.008, 0.028, 0.006, 0.006, 0.008]	0.8398
0.10	2	4	[111]	[0.757]	[1, 2, 4, 2, 1, 1, 1]	[0.006, 0.011, 0.025, 0.017, 0.008, 0.006, 0.008]	0.8370
0.10	2	5	[111]	[0.754]	[1, 2, 1, 1, 1, 2, 4]	[0.006, 0.014, 0.008, 0.006, 0.008, 0.014, 0.025]	0.8343
0.10	2	6	[111]	[0.768]	[1, 1, 1, 1, 1, 2, 4, 1]	[0.008, 0.006, 0.006, 0.008, 0.006, 0.014, 0.025, 0.008]	0.8481
