#File containing the CLEAN SSR information computed during analysis
# date	 file	 ssr 	 fragment probabilities 	 fraction PEG 	 fraction DDT 
1-9_ 	 50x2 	 0.025063942740712983 	 [0.869249163773953, 0.07809401048834413, 0.02024087109222331, 0.0029653262099925, 0.02945062843548706] 	 0.9386814387388208 	 0.06131856126117918
10-22_ 	 5x 	 0.09285350252590019 	 [0.08982106180724128, 0.039669875053859056, 0.15673302086393712, 0.20650644657111952, 0.507269595703843] 	 0.24956659017238403 	 0.750433409827616
10-22_ 	 10x 	 0.07246243673833232 	 [0.07261474688125708, 0.021707999313509297, 0.10561687321432323, 0.21272251199289668, 0.5873378685980137] 	 0.19488481097177485 	 0.8051151890282251
10-22_ 	 40x 	 0.25176653151719575 	 [0.3597619929630666, 0.06824045571911627, 0.18365812588653418, 0.07374978538649356, 0.3145896400447894] 	 0.5212088440422943 	 0.4787911559577057
10-22_ 	 50x 	 0.16594513099275746 	 [0.5016333185745284, 0.13470146215379922, 0.17614087199597975, 0.0545891394226571, 0.1329352078530356] 	 0.704377136043532 	 0.295622863956468
10-29_ 	 40x 	 0.1749519743674935 	 [0.253129165259562, 0.1376667094442912, 0.1231606973028785, 0.173878347419808, 0.31216508057346026] 	 0.46142913284917164 	 0.5385708671508284
11-13_ 	 1x 	 0.08359883034539228 	 [0.09609989866576298, 0.07159089997402368, 0.07424063766230582, 0.2711575697697084, 0.48691099392819914] 	 0.25470278491986076 	 0.7452972150801392
11-13_ 	 2.56x 	 0.03655025735360073 	 [0.03975867131947112, 0.08949797864442938, 0.1632791036962678, 0.2928880268957468, 0.41457621944408496] 	 0.2617437138748637 	 0.7382562861251363
11-13_ 	 5x 	 0.037437364277865134 	 [0.05417233206905031, 0.04611688362359555, 0.12782480815569872, 0.28922340832769317, 0.4826625678239622] 	 0.22497825094651963 	 0.7750217490534803
11-13_ 	 10x 	 0.12676316524882453 	 [0.1190804075119844, 0.07230910697945271, 0.09643164338622538, 0.21054711481168734, 0.5016317273106502] 	 0.2741648381426085 	 0.7258351618573915
11-13_ 	 40x 	 0.10859092361922484 	 [0.21227275386450722, 0.12457339353684832, 0.1866311242072333, 0.2062236725459577, 0.27029905584545355] 	 0.4505742792572495 	 0.5494257207427504
11-13_ 	 50x 	 0.0880715235909722 	 [0.2607535335600225, 0.19360312359496198, 0.20777244288016897, 0.15411506209454637, 0.18375583787030023] 	 0.5483708632199651 	 0.4516291367800349
